id;code;jhi_date;details;status;payment_method;payment_date;payment_amount
1;Sachsen-Anhalt Focused;2023-04-14T07:21:09;Loop;CANCELLED;PAYPAL;2023-04-14T01:41:34;22604
2;calculating;2023-04-14T07:49:32;haptic 1080p;ISSUED;PAYPAL;2023-04-13T19:03:12;10489
3;national Frozen Berkshire;2023-04-14T08:04:22;Account Borders Home;PAID;CREDIT_CARD;2023-04-13T22:47:13;36325
4;monitor;2023-04-13T18:06:58;parse intuitive Division;CANCELLED;PAYPAL;2023-04-13T19:41:59;13687
5;synergy transmitting;2023-04-13T18:09:13;parse Gloves;ISSUED;PAYPAL;2023-04-14T02:45:51;92472
6;function;2023-04-13T23:02:41;Fresh;CANCELLED;CASH_ON_DELIVERY;2023-04-14T10:09:42;26944
7;Hamburg;2023-04-14T09:29:04;RAM;ISSUED;PAYPAL;2023-04-14T14:30:56;32458
8;Analyst Agent;2023-04-14T13:23:46;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2023-04-14T10:25:28;79389
9;Salad;2023-04-13T19:32:28;Gorgeous;ISSUED;CREDIT_CARD;2023-04-14T04:18:52;62169
10;Pants Wooden Intuitive;2023-04-14T04:56:25;array Baden-Württemberg Schleswig-Holstein;CANCELLED;CASH_ON_DELIVERY;2023-04-14T00:51:02;58737
