id;jhi_date;details;sent_date;format;user_id;product_id
1;2023-04-14T05:08:53;Pants;2023-04-13T18:28:22;EMAIL;3405;81146
2;2023-04-13T20:42:44;port;2023-04-13T21:08:07;SMS;86437;18722
3;2023-04-14T11:51:25;program next-generation;2023-04-14T06:16:32;EMAIL;97870;11395
4;2023-04-14T01:30:56;reboot payment;2023-04-14T00:08:33;SMS;67108;40188
5;2023-04-13T17:43:44;Sports invoice;2023-04-14T12:42:44;SMS;25250;97027
6;2023-04-14T07:49:14;Officer stable Intelligent;2023-04-14T05:06:23;PARCEL;64519;40687
7;2023-04-13T18:53:56;Salad;2023-04-13T23:13:46;SMS;49244;268
8;2023-04-14T03:36:25;parallelism deposit Berkshire;2023-04-13T18:16:52;EMAIL;18345;42331
9;2023-04-13T20:21:17;Usability Jewelery;2023-04-14T02:45:05;SMS;77847;4595
10;2023-04-14T09:07:47;parsing;2023-04-14T15:05:43;EMAIL;31675;99829
