id;placed_date;status;code;invoice_id;customer
1;2023-04-14T06:54:25;COMPLETED;Electronics;57858;calculate
2;2023-04-14T05:38:15;CANCELLED;one-to-one Corporate;74608;Steel
3;2023-04-13T21:05:42;CANCELLED;cross-platform Health;12251;real-time
4;2023-04-13T23:52:27;CANCELLED;Hat;10576;Square revolutionize
5;2023-04-14T06:55:56;CANCELLED;implement Implementation;23738;Bike
6;2023-04-13T22:07:17;CANCELLED;Industrial Checking Right-sized;52549;models
7;2023-04-13T22:19:25;PENDING;Implemented;30578;Home
8;2023-04-14T02:18:26;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2023-04-14T07:06:12;COMPLETED;National Program;95175;neural hacking
10;2023-04-14T06:59:12;COMPLETED;hack Shirt Walks;57700;full-range back
